bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year
PR,en,"Country homes -- Fiction,Jewelry theft -- Fiction,Police -- England -- Fiction,England -- Fiction,East Indians -- England -- Fiction,Mystery fiction",The Moonstone,Text,1770,155,179,https://www.gutenberg.org/ebooks/155,1824,1889,"Collins, Wilkie",12,01/12/06,1,January,2006
PS,en,"Gothic fiction (Literary genre),Short stories,Horror tales",The Fall of the House of Usher,Text,1739,932,180,https://www.gutenberg.org/ebooks/932,1809,1849,"Poe, Edgar Allan",1,"June, 1997",6,June,1997
PS,en,"Upper class -- Fiction,Separated people -- Fiction,Triangles (Interpersonal relations) -- Fiction,Married people -- Fiction,New York (N.Y.) -- Fiction,Domestic fiction,Love stories",The Age of Innocence,Text,1737,541,181,https://www.gutenberg.org/ebooks/541,1862,1937,"Wharton, Edith",1,"May, 1996",5,May,1996
PA,en,"Legends -- Rome -- Poetry;Aeneas (Legendary character) -- Poetry;Epic poetry, Latin -- Translations into English",The Aeneid,Text,1723,228,182,https://www.gutenberg.org/ebooks/228,-70,-19,Virgil,10,03/10/08,3,March,2008
PR,en,"Wishes -- Fiction,Horror tales","The Monkey's Paw: The Lady of the Barge and Others, Part 2.",Text,1692,12122,183,https://www.gutenberg.org/ebooks/12122,1863,1943,"Jacobs, W. W. (William Wymark)",22,04/22/04,4,April,2004
"PZ,PR",en,Fantasy,Alice's Adventures in Wonderland,Text,1660,19033,184,https://www.gutenberg.org/ebooks/19033,1832,1898,"Carroll, Lewis",12,08/12/06,8,August,2006
"PZ,PS",en,"People with disabilities -- Fiction,Gardens -- Fiction,Orphans -- Fiction,Yorkshire (England) -- Fiction",The Secret Garden,Text,1621,113,185,https://www.gutenberg.org/ebooks/113,1849,1924,"Burnett, Frances Hodgson",15,05/15/08,5,May,2008
DF,en,"Greece -- History -- Peloponnesian War, 431-404 B.C.",The History of the Peloponnesian War,Text,1605,7142,186,https://www.gutenberg.org/ebooks/7142,-460,-395,Thucydides,1,"December, 2004",12,December,2004
PS,en,"Britons -- Fiction,Time travel -- Fiction,Fantasy fiction,Satire,Kings and rulers -- Fiction,Arthurian romances -- Adaptations,Americans -- Great Britain -- Fiction,Knights and knighthood -- Fiction",A Connecticut Yankee in King Arthur's Court,Text,1605,86,187,https://www.gutenberg.org/ebooks/86,1835,1910,"Twain, Mark",20,07/20/06,7,July,2006
,en,"Packing-house products,Animal industry -- United States",The Livestock Producer and Armour,Text,1601,51244,188,https://www.gutenberg.org/ebooks/51244,0,0,Unknown,18,02/18/16,2,February,2016
PR,en,"Vampires -- Fiction,Young women -- Fiction",Carmilla,Text,1583,10007,189,https://www.gutenberg.org/ebooks/10007,1814,1873,"Le Fanu, Joseph Sheridan",7,11/07/03,11,November,2003
PS,en,"Diary fiction,Humorous stories,Eve (Biblical figure) -- Fiction,Bible. Genesis -- History of Biblical events -- Fiction","Eve's Diary, Complete",Text,1553,8525,190,https://www.gutenberg.org/ebooks/8525,1835,1910,"Twain, Mark",14,06/14/04,6,June,2004
B,en,Ethics,Ethics,Text,1552,3800,191,https://www.gutenberg.org/ebooks/3800,1632,1677,"Spinoza, Benedictus de",1,"February, 2003",2,February,2003
PS,en,"Men -- Psychology -- Fiction,Psychological fiction,Time travel -- Fiction,Science fiction,Love stories,Individuality -- Fiction",Anthem,Text,1551,1250,192,https://www.gutenberg.org/ebooks/1250,1905,1982,"Rand, Ayn",1,"March, 1998",3,March,1998
PR,en,"England -- Fiction,British -- Italy -- Fiction,Humorous stories,Young women -- Fiction,Florence (Italy) -- Fiction",A Room with a View,Text,1546,2641,193,https://www.gutenberg.org/ebooks/2641,1879,1970,"Forster, E. M. (Edward Morgan)",1,"May, 2001",5,May,2001
PQ,en,"Epic poetry, Italian -- Translations into English;Italian poetry -- To 1400 -- Translations into English","The Divine Comedy by Dante, Illustrated, Paradise, Complete",Text,1545,8799,194,https://www.gutenberg.org/ebooks/8799,1265,1321,Dante Alighieri,2,08/02/04,8,August,2004
TA,en,"Wood,Wood -- Testing","The Mechanical Properties of Wood: Including a Discussion of the Factors Affecting the Mechanical Properties, and Methods of Timber Testing",Text,1544,12299,195,https://www.gutenberg.org/ebooks/12299,1881,1945,"Record, Samuel J. (Samuel James)",8,05/08/04,5,May,2004
PR,en,"Virtue -- Fiction,Epistolary fiction,Kidnapping victims -- Fiction,Didactic fiction,Women household employees -- Fiction,England -- Fiction,Master and servant -- Fiction","Pamela, or Virtue Rewarded",Text,1541,6124,196,https://www.gutenberg.org/ebooks/6124,1689,1761,"Richardson, Samuel",1,"July, 2004",7,July,2004
PS,en,"College students -- Fiction;Children of the rich -- Fiction;Bildungsromans;World War, 1914-1918 -- Veterans -- Fiction;Advertising -- Fiction;Young men -- Fiction;Love stories",This Side of Paradise,Text,1536,805,197,https://www.gutenberg.org/ebooks/805,1896,1940,"Fitzgerald, F. Scott (Francis Scott)",1,"February, 1997",2,February,1997
"PZ,PR",en,"Short stories, English;Children's stories, English;Fairy tales","The Happy Prince, and Other Tales",Text,1530,902,198,https://www.gutenberg.org/ebooks/902,1854,1900,"Wilde, Oscar",29,03/29/15,3,March,2015
PS,en,"Voyages and travels,Middle East -- Description and travel,Europe -- Description and travel",The Innocents Abroad,Text,1523,3176,199,https://www.gutenberg.org/ebooks/3176,1835,1910,"Twain, Mark",18,08/18/06,8,August,2006
PR,en,English poetry -- 18th century,An Essay on Man; Moral Essays and Satires,Text,1517,2428,200,https://www.gutenberg.org/ebooks/2428,1688,1744,"Pope, Alexander",20,08/20/07,8,August,2007
PS,en,"Trials (Murder) -- Fiction,Missouri -- Fiction,Race relations -- Fiction,Infants switched at birth -- Fiction,Impostors and imposture -- Fiction,Passing (Identity) -- Fiction,Legal stories",The Tragedy of Pudd'nhead Wilson,Text,1511,102,201,https://www.gutenberg.org/ebooks/102,1835,1910,"Twain, Mark",1,"January, 1994",1,January,1994
"B,PA",en,"Classical literature;Philosophy, Ancient;Socrates, 470 BC-399 BC;Love -- Early works to 1800",Symposium,Text,1511,1600,202,https://www.gutenberg.org/ebooks/1600,-428,-348,Plato,1,"January, 1999",1,January,1999
BJ,en,"Etiquette for men,Etiquette,Men -- Conduct of life",The Gentlemen's Book of Etiquette and Manual of Politeness: Being a Complete Guide for a Gentleman's Conduct in All His Relations Towards Society,Text,1510,39293,203,https://www.gutenberg.org/ebooks/39293,0,0,"Hartley, Cecil B.",28,03/28/12,3,March,2012
,en,,The Man Who Was Six,Text,1501,51295,204,https://www.gutenberg.org/ebooks/51295,1915,2004,"Wallace, F. L. (Floyd L.)",24,02/24/16,2,February,2016
PA,en,"Antigone (Mythological character) -- Drama,Greek drama (Tragedy) -- Translations into English,Oedipus (Greek mythological figure) -- Drama,Tragedies",Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Text,1496,31,205,https://www.gutenberg.org/ebooks/31,-496,-406,Sophocles,7,03/07/06,3,March,2006
PS,en,"Virginia -- History -- Civil War, 1861-1865 -- Fiction;War stories;United States -- History -- Civil War, 1861-1865 -- Fiction;Historical fiction;Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction",The Red Badge of Courage: An Episode of the American Civil War,Text,1496,73,206,https://www.gutenberg.org/ebooks/73,1871,1900,"Crane, Stephen",1,07/01/08,7,July,2008
HD,en,"Working class -- Great Britain,Great Britain -- Economic conditions",The Condition of the Working-Class in England in 1844: with a Preface written in 1892,Text,1489,17306,207,https://www.gutenberg.org/ebooks/17306,1820,1895,"Engels, Friedrich",13,12/13/05,12,December,2005
PQ,en,"Epic poetry, Italian -- Translations into English;Italian poetry -- To 1400 -- Translations into English;Hell -- Poetry","Divine Comedy, Longfellow's Translation, Hell",Text,1487,1001,208,https://www.gutenberg.org/ebooks/1001,1265,1321,Dante Alighieri,1,"August, 1997",8,August,1997
PQ,en,"France -- History -- 17th century -- Drama;Authors, French -- 17th century -- Drama;Cyrano de Bergerac, 1619-1655 -- Drama",Cyrano de Bergerac,Text,1486,1254,209,https://www.gutenberg.org/ebooks/1254,1868,1918,"Rostand, Edmond",1,"March, 1998",3,March,1998
PR,en,"Hamlet (Legendary character) -- Drama,Tragedies,Murder victims' families -- Drama,Princes -- Drama,Denmark -- Drama,Fathers -- Death -- Drama,Revenge -- Drama,Kings and rulers -- Succession -- Drama",Hamlet,Text,1481,2265,210,https://www.gutenberg.org/ebooks/2265,1564,1616,"Shakespeare, William",1,01/01/03,1,January,1603
B,en,"Methodology,Science -- Methodology",Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,Text,1476,59,211,https://www.gutenberg.org/ebooks/59,1596,1650,"Descartes, Rene",1,07/01/08,7,July,2008
PS,en,"Slums -- Fiction,Poor women -- Fiction,Psychological fiction,Prostitutes -- Fiction,Poor families -- Fiction,Suicide victims -- Fiction,New York (N.Y.) -- Fiction",Maggie: A Girl of the Streets,Text,1470,447,212,https://www.gutenberg.org/ebooks/447,1871,1900,"Crane, Stephen",1,"February, 1996",2,February,1996
,en,Literature -- Collections,The Library of Entertainment Handbook,Text,1466,51248,213,https://www.gutenberg.org/ebooks/51248,0,0,"Scammell, John Chilton",18,02/18/16,2,February,2016
PQ,en,"Submarines (Ships) -- Fiction,Science fiction,Sea stories,Underwater exploration -- Fiction",Twenty Thousand Leagues under the Sea,Text,1459,164,214,https://www.gutenberg.org/ebooks/164,1828,1905,"Verne, Jules",24,05/24/08,5,May,2008
PS,en,"Short stories, American;Horror tales, American;United States -- Social life and customs -- 19th century -- Fiction",The King in Yellow,Text,1453,8492,215,https://www.gutenberg.org/ebooks/8492,1865,1933,"Chambers, Robert W. (Robert William)",1,"July, 2005",7,July,2005
B,en,"Will;Philosophy;Idea (Philosophy);Knowledge, Theory of",The World as Will and Idea (Vol. 1 of 3),Text,1452,38427,216,https://www.gutenberg.org/ebooks/38427,1788,1860,"Schopenhauer, Arthur",27,12/27/11,12,December,2011
DS,en,"Philippines -- Politics and government -- 1898-1935,Philippines -- History -- 1898-1946",The American Occupation of the Philippines 1898-1912,Text,1448,36542,217,https://www.gutenberg.org/ebooks/36542,1869,1918,"Blount, James H. (James Henderson)",28,06/28/11,6,June,2011
PR,en,"Chaucer, Geoffrey, -1400;English poetry;Christian pilgrims and pilgrimages -- Poetry","The Canterbury Tales, and Other Poems",Text,1447,2383,218,https://www.gutenberg.org/ebooks/2383,1342,1400,"Chaucer, Geoffrey",1,01/01/75,1,January,1475
PR,en,"Humorous stories;Valets -- Fiction;Jeeves (Fictitious character) -- Fiction;Wooster, Bertie (Fictitious character) -- Fiction;England -- Fiction;Single men -- Fiction",My Man Jeeves,Text,1444,8164,219,https://www.gutenberg.org/ebooks/8164,1881,1975,"Wodehouse, P. G. (Pelham Grenville)",1,"May, 2005",5,May,2005
PR,en,"Virtues -- Poetry,Knights and knighthood -- Poetry","Spenser's The Faerie Queene, Book I",Text,1443,15272,220,https://www.gutenberg.org/ebooks/15272,1551,1599,"Spenser, Edmund",7,03/07/05,3,March,2005
PR,en,"Prostitution -- Great Britain -- Drama,Working class women -- Great Britain -- Drama,Prostitutes -- Great Britain -- Drama,Great Britain -- Social conditions -- 19th century -- Drama",Mrs. Warren's Profession,Text,1441,1097,221,https://www.gutenberg.org/ebooks/1097,1856,1950,"Shaw, Bernard",11,02/11/06,2,February,2006
B,en,"Apologetics,Philosophy",Pascal's Pensées,Text,1435,18269,222,https://www.gutenberg.org/ebooks/18269,1623,1662,"Pascal, Blaise",27,04/27/06,4,April,2006
PT,en,"Erotic stories,Sadomasochism -- Fiction",Venus in Furs,Text,1425,6852,223,https://www.gutenberg.org/ebooks/6852,1836,1895,"Sacher-Masoch, Leopold, Ritter von",1,"November, 2004",11,November,2004
PN,en,"Arthur, King -- Legends;Knights and knighthood -- Folklore;Folklore -- England;Arthurian romances -- Adaptations",The Legends of King Arthur and His Knights,Text,1421,12753,224,https://www.gutenberg.org/ebooks/12753,1831,1908,"Knowles, James, Sir",28,06/28/04,6,June,2004
PA,en,"Rome -- Fiction;Satire, Latin -- Translations into English",The Satyricon — Complete,Text,1412,5225,225,https://www.gutenberg.org/ebooks/5225,20,66,Petronius Arbiter,31,10/31/06,10,October,2006
PR,en,"Christian fiction,Christian pilgrims and pilgrimages -- Fiction","The Pilgrim's Progress from this world to that which is to come: Delivered under the similitude of a dream, by John Bunyan",Text,1402,131,226,https://www.gutenberg.org/ebooks/131,1628,1688,"Bunyan, John",12,06/12/08,6,June,2008
"PZ,PR",en,"Adventure and adventurers -- Fiction,Kidnapping -- Fiction,Scotland -- History -- 18th century -- Fiction,Historical fiction",Kidnapped,Text,1402,421,227,https://www.gutenberg.org/ebooks/421,1850,1894,"Stevenson, Robert Louis",16,01/16/06,1,January,2006
U,en,"Military art and science,War",On War — Volume 1,Text,1399,1946,228,https://www.gutenberg.org/ebooks/1946,1780,1831,"Clausewitz, Carl von",25,02/25/06,2,February,2006
PQ,en,"Rousseau, Jean-Jacques, 1712-1778;Authors, French -- 18th century -- Biography",The Confessions of Jean Jacques Rousseau — Complete,Text,1397,3913,229,https://www.gutenberg.org/ebooks/3913,1712,1778,"Rousseau, Jean-Jacques",5,09/05/15,9,September,2015
PT,de,"Psychological fiction,Metamorphosis -- Fiction",Die Verwandlung,Text,1389,22367,230,https://www.gutenberg.org/ebooks/22367,1883,1924,"Kafka, Franz",21,08/21/07,8,August,2007
PG,en,"Russia -- Social conditions -- 1801-1917 -- Fiction,Historical fiction",The Idiot,Text,1386,2638,231,https://www.gutenberg.org/ebooks/2638,1821,1881,"Dostoyevsky, Fyodor",1,"May, 2001",5,May,2001
,en,,Famous Impostors,Text,1381,51391,232,https://www.gutenberg.org/ebooks/51391,1847,1912,"Stoker, Bram",8,03/08/16,3,March,2016
PR,en,"Self-experimentation in medicine -- Fiction,Psychological fiction,Multiple personality -- Fiction,Physicians -- Fiction,London (England) -- Fiction,Science fiction,Horror tales",The Strange Case of Dr. Jekyll and Mr. Hyde,Text,1380,43,233,https://www.gutenberg.org/ebooks/43,1850,1894,"Stevenson, Robert Louis",31,10/31/92,10,October,1992
,en,,The Addicts,Text,1379,51240,234,https://www.gutenberg.org/ebooks/51240,1906,1980,"Samachson, Joseph",17,02/17/16,2,February,2016
PR,en,"Challenger, Professor (Fictitious character) -- Fiction;Fantasy fiction;Prehistoric peoples -- Fiction;Dinosaurs -- Fiction;South America -- Fiction",The Lost World,Text,1378,139,235,https://www.gutenberg.org/ebooks/139,1859,1930,"Doyle, Arthur Conan",19,06/19/08,6,June,2008
PS,en,"Mississippi River -- Description and travel;Mississippi River Valley -- Social life and customs -- 19th century;Authors, American -- 19th century -- Biography;Pilots and pilotage -- Mississippi River;Twain, Mark, 1835-1910 -- Travel -- Mississippi River",Life on the Mississippi,Text,1368,245,236,https://www.gutenberg.org/ebooks/245,1835,1910,"Twain, Mark",20,08/20/06,8,August,2006
B,en,"Ethics;Knowledge, Theory of",An Enquiry Concerning Human Understanding,Text,1350,9662,237,https://www.gutenberg.org/ebooks/9662,1711,1776,"Hume, David",1,"January, 2006",1,January,2006
,en,,The Marching Morons,Text,1349,51233,238,https://www.gutenberg.org/ebooks/51233,1923,1958,"Kornbluth, C. M. (Cyril M.)",16,02/16/16,2,February,2016
PQ,en,"Plague -- Europe -- History -- Fiction,Allegories,Frame-stories,Storytelling -- Fiction",The Decameron of Giovanni Boccaccio,Text,1339,23700,239,https://www.gutenberg.org/ebooks/23700,1313,1375,"Boccaccio, Giovanni",3,12/03/07,12,December,2007
HQ,en,"Women's rights -- Great Britain,Women -- History -- 19th century,Women -- Education -- Great Britain,Feminism",A Vindication of the Rights of Woman: With Strictures on Political and Moral Subjects,Text,1339,3420,240,https://www.gutenberg.org/ebooks/3420,1759,1797,"Wollstonecraft, Mary",1,"September, 2002",9,September,2002
PS,en,"Africa -- Fiction,Tarzan (Fictitious character) -- Fiction,Fantasy fiction,Wild men -- Fiction,British -- Africa -- Fiction,Adventure stories",Tarzan of the Apes,Text,1336,78,241,https://www.gutenberg.org/ebooks/78,1875,1950,"Burroughs, Edgar Rice",23,06/23/08,6,June,2008
HV,en,Lynching,Southern Horrors: Lynch Law in All Its Phases,Text,1333,14975,242,https://www.gutenberg.org/ebooks/14975,1862,1931,"Wells-Barnett, Ida B.",8,02/08/05,2,February,2005
PG,en,"Russia -- Social life and customs -- Drama,Country life -- Russia -- Drama,Russian drama -- Translations into English,Families -- Russia -- Drama",Uncle Vanya: Scenes from Country Life in Four Acts,Text,1333,1756,243,https://www.gutenberg.org/ebooks/1756,1860,1904,"Chekhov, Anton Pavlovich",1,"May, 1999",5,May,1999
PQ,en,"Philippines -- History -- 1812-1898 -- Fiction,Historical fiction",The Social Cancer: A Complete English Version of Noli Me Tangere,Text,1333,6737,244,https://www.gutenberg.org/ebooks/6737,1861,1896,"Rizal, Jose",17,06/17/07,6,June,2007
PQ,en,"Giants -- Fiction;Fantasy fiction, French -- Translations into English;Gargantua (Legendary character) -- Fiction",Gargantua and Pantagruel,Text,1328,1200,245,https://www.gutenberg.org/ebooks/1200,0,0,"Rabelais, Francois",8,08/08/04,8,August,2004
BV,en,"Spirituality,God (Christianity) -- Worship and love",The Pursuit of God,Text,1328,25141,246,https://www.gutenberg.org/ebooks/25141,1897,1963,"Tozer, A. W. (Aiden Wilson)",23,04/23/08,4,April,2008
"KF,JK",en,"Constitutional law -- United States,Constitutional history -- United States -- Sources",The Federalist Papers,Text,1327,1404,247,https://www.gutenberg.org/ebooks/1404,1745,1829,"Jay, John",1,"July, 1998",7,July,1998
PR,en,"Fiction -- Authorship -- Fiction,Infants -- Fiction,Fetus -- Fiction,Experimental fiction,Stream of consciousness fiction","The Life and Opinions of Tristram Shandy, Gentleman",Text,1326,1079,248,https://www.gutenberg.org/ebooks/1079,1713,1768,"Sterne, Laurence",1,"October, 1997",10,October,1997
PR,en,"Erotic literature;Heidegger, John James, 1659?-1748;Penis -- Poetry",The Ladies Delight,Text,1322,14005,249,https://www.gutenberg.org/ebooks/14005,0,0,Anonymous,10,11/10/04,11,November,2004
DG,en,"Rome -- History -- Empire, 30 B.C.-284 A.D.;Emperors -- Rome -- Biography -- Early works to 1800","The Lives of the Twelve Caesars, Complete",Text,1317,6400,250,https://www.gutenberg.org/ebooks/6400,0,0,Suetonius,22,10/22/06,10,October,2006
"PS,E660",en,"West (U.S.) -- Description and travel;West (U.S.) -- Intellectual life -- 19th century;Authors, American -- Homes and haunts -- West (U.S.);Twain, Mark, 1835-1910 -- Travel -- West (U.S.)",Roughing It,Text,1313,3177,251,https://www.gutenberg.org/ebooks/3177,1835,1910,"Twain, Mark",18,08/18/06,8,August,2006
PS,en,"Science fiction,War stories,Robots -- Fiction",Second Variety,Text,1308,32032,252,https://www.gutenberg.org/ebooks/32032,1928,1982,"Dick, Philip K.",17,04/17/10,4,April,2010
,en,,Bridge Crossing,Text,1308,51241,253,https://www.gutenberg.org/ebooks/51241,1915,2003,"Dryfoos, Dave",17,02/17/16,2,February,2016
PJ,en,"Tales -- Arab countries,Fairy tales","The Thousand and One Nights, Vol. I.: Commonly Called the Arabian Nights' Entertainments",Text,1307,34206,254,https://www.gutenberg.org/ebooks/34206,0,0,Unknown,3,11/03/10,11,November,2010
B,en,"Philosophy and religion,Happiness",The Consolation of Philosophy,Text,1306,14328,255,https://www.gutenberg.org/ebooks/14328,480,524,Boethius,11,12/11/04,12,December,2004
CR,en,Heraldry -- Great Britain,A Complete Guide to Heraldry,Text,1306,41617,256,https://www.gutenberg.org/ebooks/41617,1871,1928,"Fox-Davies, Arthur Charles",13,12/13/12,12,December,2012
"PZ,PT",de,"Children's poetry, German;Practical jokes -- Juvenile poetry;Wit and humor",Max und Moritz: Eine Bubengeschichte in sieben Streichen,Text,1302,17161,257,https://www.gutenberg.org/ebooks/17161,1832,1908,"Busch, Wilhelm",21,12/21/05,12,December,2005
"PA,PN",en,"Aesthetics -- Early works to 1800,Poetry -- Early works to 1800",The Poetics of Aristotle,Text,1300,1974,258,https://www.gutenberg.org/ebooks/1974,-384,-322,Aristotle,1,"November, 1999",11,November,1999
PT,en,Norwegian drama -- Translations into English,Ghosts,Text,1295,8121,259,https://www.gutenberg.org/ebooks/8121,1828,1906,"Ibsen, Henrik",1,"May, 2005",5,May,2005
PZ,en,"Children -- Conduct of life -- Juvenile fiction;Children's stories, German -- Translations into English;Children's poetry, German -- Translations into English;Stories in rhyme;Picture books for children;Behavior -- Fiction",Struwwelpeter: Merry Stories and Funny Pictures,Text,1290,12116,260,https://www.gutenberg.org/ebooks/12116,1809,1894,"Hoffmann, Heinrich",23,04/23/04,4,April,2004
PS,en,"Human-alien encounters -- Fiction,Science fiction",Youth,Text,1287,31547,261,https://www.gutenberg.org/ebooks/31547,1920,1992,"Asimov, Isaac",7,03/07/10,3,March,2010
PR,en,"India -- History -- British occupation, 1765-1947 -- Fiction;British -- India -- Fiction",Plain Tales from the Hills,Text,1284,1858,262,https://www.gutenberg.org/ebooks/1858,1865,1936,"Kipling, Rudyard",1,"August, 1999",8,August,1999
PR,en,"Mentally ill -- Fiction,Science fiction,Scientists -- Fiction,Psychological fiction",The Invisible Man: A Grotesque Romance,Text,1283,5230,263,https://www.gutenberg.org/ebooks/5230,1866,1946,"Wells, H. G. (Herbert George)",7,10/07/04,10,October,2004
B,en,Utilitarianism,Utilitarianism,Text,1282,11224,264,https://www.gutenberg.org/ebooks/11224,1806,1873,"Mill, John Stuart",22,02/22/04,2,February,2004
PC,pt,Portuguese language -- Dictionaries,Novo dicionário da língua portuguesa,Text,1277,31552,265,https://www.gutenberg.org/ebooks/31552,1846,1925,"Figueiredo, Candido de",2,04/02/10,4,April,2010
PR,en,"Short stories, English;Humorous stories;Supernatural -- Fiction",Beasts and Super-Beasts,Text,1276,269,266,https://www.gutenberg.org/ebooks/269,1870,1916,Saki,26,12/26/11,12,December,2011
,en,,"The History of Prostitution: Its Extent, Causes, and Effects throughout the World",Text,1267,41873,267,https://www.gutenberg.org/ebooks/41873,0,0,"Sanger, William W.",19,01/19/13,1,January,2013
PQ,en,"Science fiction;Earth (Planet) -- Core -- Fiction;Voyages, Imaginary -- Fiction;Adventure stories",A Journey to the Centre of the Earth,Text,1263,18857,268,https://www.gutenberg.org/ebooks/18857,1828,1905,"Verne, Jules",18,07/18/06,7,July,2006
Z,en,"Classification, Dewey decimal",A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library,Text,1244,12513,269,https://www.gutenberg.org/ebooks/12513,1851,1931,"Dewey, Melvil",4,06/04/04,6,June,2004
HB,en,"Sociology,Leisure class",The Theory of the Leisure Class,Text,1244,833,270,https://www.gutenberg.org/ebooks/833,1857,1929,"Veblen, Thorstein",1,"March, 1997",3,March,1997
PR,en,"Great Britain -- History -- Richard I, 1189-1199 -- Fiction;Knights and knighthood -- Fiction;Normans -- Great Britain -- Fiction;Triangles (Interpersonal relations) -- Fiction;Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction;Jews -- England -- Fiction;Anglo-Saxons -- Fiction;Historical fiction;Love stories",Ivanhoe: A Romance,Text,1241,82,271,https://www.gutenberg.org/ebooks/82,1771,1832,"Scott, Walter",1,"September, 1993",9,September,1993
PQ,en,"France -- History -- Louis XI, 1461-1483 -- Fiction;Paris (France) -- History -- To 1515 -- Fiction;Historical fiction;People with disabilities -- Fiction;Clergy -- Fiction;Romances;Notre-Dame de Paris (Cathedral) -- Fiction",Notre-Dame De Paris,Text,1239,2610,272,https://www.gutenberg.org/ebooks/2610,1802,1885,"Hugo, Victor",1,"April, 2001",4,April,2001
DS,en,"Rizal, José, 1861-1896","Lineage, Life and Labors of José Rizal, Philippine Patriot",Text,1239,6867,273,https://www.gutenberg.org/ebooks/6867,1872,0,"Craig, Austin",18,06/18/04,6,June,2004
PR,en,"Private investigators -- England -- Fiction;Detective and mystery stories;Holmes, Sherlock (Fictitious character) -- Fiction",The Valley of Fear,Text,1230,3289,274,https://www.gutenberg.org/ebooks/3289,1859,1930,"Doyle, Arthur Conan",1,"June, 2002",6,June,2002
PR,en,"Science fiction,Animal experimentation -- Fiction,Islands -- Fiction,Shipwreck survival -- Fiction",The Island of Doctor Moreau,Text,1229,159,275,https://www.gutenberg.org/ebooks/159,1866,1946,"Wells, H. G. (Herbert George)",14,10/14/04,10,October,2004
"PZ,PR",en,Fantasy,Alice's Adventures in Wonderland: Illustrated by Arthur Rackham. With a Proem by Austin Dobson,Text,1229,28885,276,https://www.gutenberg.org/ebooks/28885,1832,1898,"Carroll, Lewis",19,05/19/09,5,May,2009
,en,,The Man Outside,Text,1218,51337,277,https://www.gutenberg.org/ebooks/51337,1922,2000,"Smith, Evelyn E.",1,03/01/16,3,March,2016
PS,en,"United States -- History -- French and Indian War, 1754-1763 -- Fiction;War stories;Adventure stories;Frontier and pioneer life -- Fiction;Mohegan Indians -- Fiction;Historical fiction;Bumppo, Natty (Fictitious character) -- Fiction",The Last of the Mohicans; A narrative of 1757,Text,1215,940,278,https://www.gutenberg.org/ebooks/940,1789,1851,"Cooper, James Fenimore",5,02/05/06,2,February,2006
"PZ,PQ",en,"Fairy tales,Puppets -- Juvenile fiction,Pinocchio (Fictitious character) -- Juvenile fiction",The Adventures of Pinocchio,Text,1214,500,279,https://www.gutenberg.org/ebooks/500,1826,1890,"Collodi, Carlo",12,01/12/06,1,January,2006
PR,en,English essays -- 18th century -- Periodicals,"The Spectator, Volumes 1, 2 and 3: With Translations and Index for the Series",Text,1207,12030,280,https://www.gutenberg.org/ebooks/12030,1672,1729,"Steele, Richard, Sir",14,04/14/04,4,April,2004
PR,en,"Jungles -- Fiction;Jungle animals -- Fiction;Feral children -- Fiction;Mowgli (Fictitious character) -- Fiction;Adventure stories, English;Animals -- Fiction;Short stories;India -- Fiction",The Jungle Book,Text,1207,35997,281,https://www.gutenberg.org/ebooks/35997,1865,1936,"Kipling, Rudyard",30,04/30/11,4,April,2011
,en,,The Sense of Wonder,Text,1207,51296,282,https://www.gutenberg.org/ebooks/51296,1928,2008,"Marlowe, Stephen",24,02/24/16,2,February,2016
NK,en,Pottery -- Marks,China and Pottery Marks,Text,1201,40311,283,https://www.gutenberg.org/ebooks/40311,0,0,Unknown,24,07/24/12,7,July,2012
PA,en,"Fables, Greek -- Translations into English",Aesop's Fables; a new translation,Text,1199,11339,284,https://www.gutenberg.org/ebooks/11339,0,0,Aesop,27,02/27/04,2,February,2004
PS,en,Essays,Essays by Ralph Waldo Emerson,Text,1194,16643,285,https://www.gutenberg.org/ebooks/16643,1803,1882,"Emerson, Ralph Waldo",4,09/04/05,9,September,2005
TT,en,Needlework,Encyclopedia of Needlework,Text,1194,20776,286,https://www.gutenberg.org/ebooks/20776,1846,1890,"Dillmont, Therese de",8,03/08/07,3,March,2007
PR,enm,Christian pilgrims and pilgrimages -- Poetry,"Chaucer's Works, Volume 4 (of 7) — The Canterbury Tales",Text,1176,22120,287,https://www.gutenberg.org/ebooks/22120,1342,1400,"Chaucer, Geoffrey",22,07/22/07,7,July,2007
PS,en,"Wolfdogs -- Fiction;Adventure stories;Canada, Northern -- Fiction",White Fang,Text,1174,910,288,https://www.gutenberg.org/ebooks/910,1876,1916,"London, Jack",16,03/16/05,3,March,2005
PS,en,"New England -- Social life and customs -- Fiction,Short stories","Mosses from an Old Manse, and Other Stories",Text,1173,512,289,https://www.gutenberg.org/ebooks/512,1804,1864,"Hawthorne, Nathaniel",1,"April, 1996",4,April,1996
